Title,Year,Mileage/Km,Price,Brand
Honda Jazz 1.3A,2019,51000,80800,Honda
Nissan Note 1.2A (OPC),2020,13500,71988,Nissan
Honda City 1.5A RS i-VTEC LX,2021,43800,116800,Honda
Toyota Camry 2.0A,2016,118095,55800,Toyota
Audi A5 Sportback 2.0A TFSI S-tronic Design (OPC),2019,31229,138800,Audi
Toyota Sienta Hybrid 1.5A X,2020,50208,115800,Toyota
Honda Vezel 1.5A G,2022,42000,137800,Honda
Toyota Aygo 1.0A,2014,45415,9555,Toyota
Infiniti QX50 2.0A VC-T Sensory ProACTIVE,2019,42000,135988,Infiniti
Nissan Qashqai 1.2A DIG-T,2016,127500,47988,Nissan
Toyota Dyna 150 3.0M,2017,276000,56000,Toyota
Toyota Wish 1.8A X,2015,110000,38988,Toyota
Toyota Dyna 150 3.0M,2017,102000,57800,Toyota
Mercedes-Benz GLB-Class GLB180 Progressive,2023,4000,227800,Mercedes-Benz
Volvo V40 T4 Momentum,2019,69500,102999,Volvo
Mazda 3 1.5A Deluxe Sunroof,2018,84500,68988,Mazda
Nissan NV200 1.6A DX,2020,50300,66188,Nissan
Volvo XC60 T5 2.0A,2015,118000,39988,Volvo
Mazda 6 2.0A Executive,2017,100500,61988,Mazda
Honda City 1.5A V,2019,58000,85500,Honda
Volkswagen Jetta GP 1.4A TSI,2015,123800,35988,Volkswagen
BMW X3 xDrive20i (New 10-yr COE),2014,122000,165800,BMW
Toyota Wish 1.8A Elegance,2016,101958,62800,Toyota
Mercedes-Benz C-Class C63 S AMG,2017,63439,238800,Mercedes-Benz
Volkswagen Sharan 2.0A TSI Sunroof,2020,82000,152988,Volkswagen
Volkswagen Golf R 5DR Sunroof,2017,66362,117800,Volkswagen
Opel Astra 1.4A Turbo,2019,90600,77800,Opel
Rolls-Royce Silver Shadow 6.75A (COE till 10/2028),2018,84000,125000,Rolls-Royce
Audi A3 Sportback 1.0A TFSI S-tronic,2018,83000,81388,Audi
Honda Freed Hybrid 1.5A G,2018,86300,94988,Honda
